Topic,Premise,Conclusion,Validity,Confidence
Trying terrorist suspects in civilian courts,"[""The belief is that Mr. Mohammed's testimony will provide him with a personal perspective. However, if the trial provides ostensibly partisan propaganda, it will be advantageous for us as well. Furthermore, TV camera use in federal courts eliminates the possibility of “real time” jihadist propaganda.""]",['Wind turbines can result in land use around the base.'],0,very confident
TV viewing is harmful to children,"['The rise of television has resulted in a culture that is dominated by mass production, shallow values, and stereotypes, which have had repercussions on modern society. It has also brought shame to our society by trivializing culture and commoditizing us with mediocre, ""Hollywood"" models of entertainment, leading to the erosion of regional traditions and diversity.']","['Torture is not a form of punishment, but rather an effort to safeguard civilians from harm.']",0,very confident
Underground nuclear waste storage,"[""The Arius organization's Executive Director, Charles McCombie, pointed out that the mining and milling of uranium is the most overlooked aspect.""]",['The dark side of uranium mining is hidden from view.'],1,very confident
US offshore oil drilling,"['While some people may find the sight of oil rigs unappealing, this is not true. Many individuals find it stimulating and imaginative when they see them drilling well underground, thinking about the energy requirements of their modern world. This need not be a painful ""eye-sore"", but can be quite enjoyable.']",['The sight of oil rigs can be visually captivating.'],1,very confident
United Nations Standing Army,"['Unless a permanent army is established, peacekeepers cannot address the fundamental issues of the mission. Although the establishment of an immediate response force may expedite the deployment of troops, it will still depend on the willingness of member states to cooperate; without such cooperation, missions will be plagued by long delays and insufficient forces.']",['FISA granted the president the authority to conduct electronic surveillance during wartime without warrants.'],0,very confident
US and NATO intervention in Libya,"['The US obtained official support from the Arab League before taking action in Libya, which provided a crucial layer of legitimacy and legality to the operation. This was particularly important because Arab countries were highly sensitive to Western military operations in their area.']",['The Arab League granted the US a legal foothold in Libya.'],1,very confident
US health care reform,"['If the bill fails, it will take a long time to get back to health reform. Clinton and Obama failed, but no one will care about it. Meanwhile, health costs continue to climb in droves across the country.']",['The search for colleges and other related activities should be done by seniors.'],0,very confident
US health care reform,"[""Let's take a moment to appreciate the potential benefits of the Senate health bill, which would be far superior to previous attempts at reforming health care.""]","['The Iraq war prompted the message that it was not only about WMDs, but also about supporting terrorism and other similar activities.']",0,very confident
Two-state solution to Israeli-Palestinian conflict,"['The establishment of a two-state solution, particularly one that includes establishing the Jewish state, would result in the displacement of Palestinians living in Israeli land. This would be both an undoing and undue exile from the country.']",['The establishment of a two-state solution would cause Israeli residents to feel alienated.'],1,very confident
Trying terrorist suspects in civilian courts,"['The new military rules have not been tested in the real world, so a trial in federal court will be sooner and faster.']",['A military experiment will be expedited and less complicated.'],0,very confident
Two-party system,['The need for a balance of interests between these governments and achieving consensus around change makes it more likely that they will be accepted by the entire country rather than reversed at the next election.'],"['The term ""dominion"" should not be used to describe animals.']",0,very confident
TV viewing is harmful to children,"['The rise of television has resulted in a culture that is dominated by mass production, shallow values, and stereotypes, which have had repercussions on modern society. It has also brought shame to our society by trivializing culture and commoditizing us with mediocre, ""Hollywood"" models of entertainment, leading to the erosion of regional traditions and diversity.']",['Television is a shrine for shallow morals.'],1,very confident
US-Indian nuclear deal,"[""The United States and India have a special relationship in the world's two largest democracies, due to their ability to trade nuclear fuels and exchange technology for nuclear energy.""]",['India and the United States are significant trading partners.'],1,very confident
Trying 9/11 terror suspects in NYC courts,"[""The idea of trying the 9/11 defendants before military commissions would be widely criticized, even if it is unfair, as it seeks to guarantee convictions regardless of the evidence presented. However, a decision to keep imprisoning the suspects without retribution, following eight years of presidential promises to hold them on trial, would indicate America's inability to prosecute war criminals effectively.""]","['Military commissions are not required to testify against 9/11 suspects, as they are deemed ineligible.']",1,confident
US electoral college,"[""The Supreme Court's ruling on the Florida recount case resulted in most Americans being prepared to recognize George Bush as President. His widespread popularity after September 11th indicates that the nation was willing to support him as a genuine commander-in-chief during times of crisis.""]",['Bush was the preferred candidate of most Americans in the 2004 election.'],1,very confident
Trade vs aid,"['The process must be objective and transparent, as without a systematic correlation between aid allocations and poverty measurements, countries with low-income individuals may receive substantial aid.']",['The responsibility of caring for our fellow creatures is a fundamental human obligation.'],0,very confident
US and NATO intervention in Libya,"['The US obtained official support from the Arab League before taking action in Libya, which provided a crucial layer of legitimacy and legality to the operation. This was particularly important because Arab countries were highly sensitive to Western military operations in their area.']",['The reduction of US offshore oil drilling results in a decrease in foreign oil dependence.'],0,very confident
US and NATO intervention in Libya,"[""After Obama's victory over the Rubicon, future presidents will only mention Libya when they unilaterally commit America to more ambitious NATO campaigns. If this fails, history will suggest that a president who solemnly pledged to end indiscriminate warmaking has quietly killed the War Powers Act.""]",['Culture and economy are being destroyed by Wikis and blogs.'],0,very confident
Trying terrorist suspects in civilian courts,"['The Administration is recognizing the existence of alternatives to trials, which are being conducted without trial and through the military commission system. As a result, the trials are only serving as empty symbolism and causing significant harm to those who are at risk.']","['A massive, violent campaign will be launched by terrorists once the US leaves.']",0,very confident
Two-state solution to Israeli-Palestinian conflict,['A two-state solution that allows the Palestinians to keep their land in the West Bank and Gaza strip is not feasible for the rapidly growing Palestinian population.'],"['With the Palestinian population on the rise, a two-state solution is not feasible.']",1,very confident
Unilateral US military strike inside Pakistan,"[""Pakistan has their own PAL system, which the U.S. uses to secure its weapons. This system is believed to be safer than Russian nuclear missiles, and several government officials and generals have confirmed that Pakistan's weapons are protected.""]","[""Pakistan's weapon defense system outperforms that of Russia.""]",1,very confident
US health care reform,"['There are many reasons to support the bill, as the Congressional Budget Office suggests that it would provide coverage for more than 30 million uninsured individuals and would enable 94 percent of all citizens and legal residents below Medicare age to have health insurance by 2019. This is a significant increase from the current 83 percent.']",['The value of health care reform remains intact even without public option.'],0,very confident
US and NATO intervention in Libya,"[""After Obama's victory over the Rubicon, future presidents will only mention Libya when they unilaterally commit America to more ambitious NATO campaigns. If this fails, history will suggest that a president who solemnly pledged to end indiscriminate warmaking has quietly killed the War Powers Act.""]",['The Libyan intervention by NATO is a breach of international law.'],0,very confident
US health care reform,"['The President of the United States is in a hurry to pass this bill due to political motives, such as their desire to eliminate it from the agenda and reduce his own numbers.']",['The implementation of health care reform is a political game-changing tactic.'],1,very confident
Trying terrorist suspects in civilian courts,"['The Administration is recognizing the existence of alternatives to trials, which are being conducted without trial and through the military commission system. As a result, the trials are only serving as empty symbolism and causing significant harm to those who are at risk.']",['Terrorists can be subjected to trials as an alternative.'],1,very confident
US and NATO intervention in Libya,"['The US obtained official support from the Arab League before taking action in Libya, which provided a crucial layer of legitimacy and legality to the operation. This was particularly important because Arab countries were highly sensitive to Western military operations in their area.']",['The reduction of US offshore oil drilling results in a decrease in foreign oil dependence.'],0,very confident
US health care reform,"[""Let's take a moment to appreciate the potential benefits of the Senate health bill, which would be far superior to previous attempts at reforming health care.""]","['The Iraq war prompted the message that it was not only about WMDs, but also about supporting terrorism and other similar activities.']",0,very confident
US offshore oil drilling,"['Hurricane Katrina did not result in any spills from offshore oil rigs in the western Gulf of Mexico, which is one of the exceptions to the ban enacted by Congress.']",['The likelihood of KSM being convicted in NY civilian courts is high.'],0,very confident
Trying 9/11 terror suspects in NYC courts,"['There is a small chance that civilian courts could uncover intelligence, but only 8 years of 8-year-old intelligence would be relevant.']",['The chances of valuable intelligence being exposed by civilian courts are slim.'],1,very confident
TV viewing is harmful to children,"['The widespread use of TV viewing is one of the reasons for this phenomenon, as individuals tune in to watch violent events, aggression, crimes, and wars on television and watch dark films that promote psychological tension, pessimism, or negative emotions.']","[""Negative thoughts about children's TV can result from watching it.""]",1,very confident
Turkey EU membership,"[""The current perception of Europe as a Christian group is in stark contrast to the values of diversity, integration, and mutual understanding. If religious diversity is viewed as an objective, Turkey's membership will be advantageous.""]","[""Turkey's inclusion in the EU will encourage greater religious tolerance.""]",1,very confident
US electoral college,"['The lack of a sufficient Electoral College makes it unfeasible to use alternative election methods such as Approval voting, Condorcet voting and Instant Runoff Voting at the Presidential level. This is unfortunate because these methods are clearly superior to what we currently have.']",['The judicial system should not be used to intimidate terrorists.'],0,very confident
Trying terrorist suspects in civilian courts,"['Sen. John McCain, R-Ariz., remarked that the decision to try accused 9/11 mastermind Khalid Sheikh Mohammed and other terrorists in New York City is likened to trying Nazi war criminal Hermann Goering in San Francisco, calling such a move ""preposterous.""']",['It is not permissible to bring charges against terrorist suspects in civilian courts.'],1,very confident
Two-state solution to Israeli-Palestinian conflict,['A two-state solution that allows the Palestinians to keep their land in the West Bank and Gaza strip is not feasible for the rapidly growing Palestinian population.'],"['With the Palestinian population on the rise, a two-state solution is not feasible.']",1,very confident
Two-party system,"['This is because one party is almost always going to have a clear majority, which allows them to make significant changes quickly and without having to compromise.']","[""The insurgency's rallying cry would be shattered if Iraq withdrew.""]",0,very confident
US-Indian nuclear deal,"[""We all know that good states can also be bad states, like Pakistan. What was once a good friend of mine could become the bad one tomorrow and vice versa. Teheran's nuclear program is rooted in the memory of our late friend, the Shah of Iran.""]",['It is possible for countries that are affectionate towards each other to become hostile.'],1,very confident
US health care reform,"['There is no substitute for a health insurance mandate. To ensure that everyone is covered, it is crucial to expand the risk pool accordingly.']",['Legislation that is essential can be enacted through the two-party system.'],0,very confident
US offshore oil drilling,"['Hurricane Katrina did not result in any spills from offshore oil rigs in the western Gulf of Mexico, which is one of the exceptions to the ban enacted by Congress.']",['The likelihood of KSM being convicted in NY civilian courts is high.'],0,very confident
Torture,"['It is not mandatory for the ""ticking time bomb"" scenario to occur, but it is possible. If it occurs, leaders must have the capacity to use torture to save a million lives without any hindrances.']",['It is possible to trigger ticking time bombs.'],1,very confident
US offshore oil drilling,"[""Barack Obama stated that the moratorium would be maintained during his presidency to prevent oil companies from drilling off Florida's coasts, while also investing in our ability to reduce our dependence on foreign oil and gas prices.""]","['With more economies of scales, wave energy will be able to be utilized in the future.']",0,very confident
US offshore oil drilling,"['Renewable energy is not a suitable substitute for oil. Although the transition is made to renewable energy in the long run, other offshore oil and gas options should be explored in short-to-medium term.']","[""Saddam Hussein had the potential to restart Iraq's WMD program in the future.""]",0,very confident
Trade vs aid,"['Without a wider infrastructure, trade requires transportation, railways, ports, and education to support it. Without foreign aid, developing countries cannot participate in international trade effectively. Assistance can be provided through advisors who provide guidance on globalisation and the financial model.']",['The quality of trade is determined by the infrastructure.'],1,very confident
Trying terrorist suspects in civilian courts,"['Jobs created to manage the trial and incarceration of terrorists are an appealing aspect of bringing them to the US, especially during economic hardship. This is particularly evident in Illinois, where Senator Dick Durbin (D) has been seeking to create jobs and potentially gain more voter support.']",['The US economy benefits from job creation opportunities for terrorists.'],1,very confident
US-Indian nuclear deal,"['The United States will also profit from the proposed agreement, which will permit it to sell India nuclear reactors and related equipment.']",['India can purchase nuclear equipment from the US.'],1,very confident
Trying 9/11 terror suspects in NYC courts,"['The additional protection needed to prevent #3 will result in a significant cost for the federal and city governments, disrupt justice operations in an already busy federal district and federal prison, cause traffic congestion and delays, and place unreasonable strain on the jurys, judges,and prosecutors.']",['The accomplishment of playing a challenging video game is felt.'],0,very confident
U.S. Withdrawal From the United Nations,"['With the world\'s largest military, and in material terms most powerful, U.S. self-rule is justified -- perhaps because America can exercise its influence outside the super-hiersey of universal subservience imposed by the U.""']",['The same evidence that the NSA program disclosed has been found through other methods:'],0,very confident
Trying terrorist suspects in civilian courts,"['Sen. John McCain, R-Ariz., remarked that the decision to try accused 9/11 mastermind Khalid Sheikh Mohammed and other terrorists in New York City is likened to trying Nazi war criminal Hermann Goering in San Francisco, calling such a move ""preposterous.""']",['Terrorists should not be prosecuted according to standard procedures.'],1,very confident
US-Indian nuclear deal,"[""We all know that good states can also be bad states, like Pakistan. What was once a good friend of mine could become the bad one tomorrow and vice versa. Teheran's nuclear program is rooted in the memory of our late friend, the Shah of Iran.""]",['Tensions between India and the US have resulted in a lack of cooperation.'],0,confident
Using sanctions to end child labor,"['The boycotts of a particular producer cause others to act out of fear of negative publicity, leaving the market to handle the issue.']",['Fear envelops those who act after one producer is banished.'],0,very confident
Unilateral US military strike inside Pakistan,"['Pakistan has the option to bring bin Laden there on their own, but they cannot do so.']",['New Mexico Governor Bill Richardson'],0,very confident
Two-party system,['The need for a balance of interests between these governments and achieving consensus around change makes it more likely that they will be accepted by the entire country rather than reversed at the next election.'],"['The term ""dominion"" should not be used to describe animals.']",0,very confident
TV viewing is harmful to children,"['The widespread use of TV viewing is one of the reasons for this phenomenon, as individuals tune in to watch violent events, aggression, crimes, and wars on television and watch dark films that promote psychological tension, pessimism, or negative emotions.']","['TV watching is a significant contributor to the psychological issue of depression, which is prevalent in modern society:']",1,confident
Torture,"['The torture puts the perpetrator in a position of power and oppression, which is brutally brutal. This brutalizing effect is dehumanizing, or at least it undermines the values of compassion, empathy, and dignity that are typical of good people, possibly in the mold of God.']",['The brutalizing and dominating impact of torture is evident.'],1,very confident
United Nations No Growth Budgets,"['Changes can happen at any time, and the need for peacekeeping may be high in one year or lower in another.']","[""Trade serves as a crucial foundation for developing countries' self-improvement.""]",0,confident
US debt ceiling deal,"[""Based on the available information, the deal is a disaster for not only President Obama and his party but also for its potential impact on America's economy, deficit problem, and political effectiveness.""]",['The $700b bailout is a financial catastrophe.'],0,very confident
US and NATO intervention in Libya,"['The US obtained official support from the Arab League before taking action in Libya, which provided a crucial layer of legitimacy and legality to the operation. This was particularly important because Arab countries were highly sensitive to Western military operations in their area.']",['The Arab League lent its support to the US.'],1,very confident
Underground nuclear waste storage,"['""We cannot guarantee its complete safety, and speaking in that manner can lead to falsehoods, according to Claes Thegerstroem of Sweden\'s Nuclear Fuel and Waste Management group. Nevertheless, we can suggest that this is the most secure option, while all other options are less secure.""']",['The duration of video games is not fixed.'],0,very confident
Trying 9/11 terror suspects in NYC courts,"['Some individuals argue that Mr. Mohammed is unlikely to exploit the intricacies of the criminal justice system and escape punishment, given that he has already admitted to the crime and there has never been a zero-to-1 record for terrorist convictions in New York.']",['It is improbable that the trial of 9/11 suspects will result in a guilty verdict.'],0,very confident
US offshore oil drilling,"[""The United States is currently facing a severe energy crisis, and it's time to start drilling offshore. While off-shore drilling may be effective in addressing this issue, there are other countries that can already save money on gas supplies.""]",['The US oil crisis necessitates immediate action and offshore oil drilling.'],1,very confident
Turkey EU membership,"[""Turkey's membership in a customs union does not necessitate its accession to the EU, as it already benefits from investment.""]",['Turkey is not obligated to become a member of the EU.'],1,very confident
US offshore oil drilling,"[""In July 2008, Sen. Barbara Boxer, D-Calif., chairwoman of the Senate Environment Committee, stated that the president's proposal was not from the U.S. president but from an oil company CEO, and that it was a risk to the coastal economy.""]",['The political context of US offshore oil drilling is in line with this.'],0,very confident
Trying 9/11 terror suspects in NYC courts,"['Rudy Giuliani praised the 1993 World Trade Center trial, stating that the law is the most effective weapon against violent individuals.']",['The US-NATO involvement in Libya has been confined to a secondary function.'],0,very confident
Trying terrorist suspects in civilian courts,"[""There is a significant difference between military and civilian trials. The U.S Supreme Court's decision to review the flaws of George W. Bush'sent tribunals, which were passed by Congress and the Obama administration, means that terrorists can be tried in civilian courts with limited rights.""]",['Military tribunals and civilian courts are essentially the same.'],1,very confident
Torture,"['The end of torture is not a matter of principle, and therefore it is unacceptable to sacrifice the principles that justify torture. Torture violates the dignity of the vulnerable and disregards human rights.']",['The means of torture are not a valid reason for considering the ends as justifiable.'],1,very confident
US offshore oil drilling,"[""Barack Obama stated that the moratorium would be maintained during his presidency to prevent oil companies from drilling off Florida's coasts, while also investing in our ability to reduce our dependence on foreign oil and gas prices.""]","['With more economies of scales, wave energy will be able to be utilized in the future.']",0,very confident
US offshore oil drilling,"[""Despite the potential benefits of opening up more American coastlines to oil and natural gas drilling, it won't result in dramatic reductions in energy prices, nor will it greatly reduce America's reliance on foreign oil. However, this could lessen the impact of future price increases.""]",['Offshore oil plays a role in mitigating the surge in oil prices.'],1,very confident
US and NATO intervention in Libya,['The legal action taken against President Obama is aimed at safeguarding the American people from being exposed to the policy that a president can force the United States into war through the North Atlantic Treaty Organization (NATO) in violation of the express terms of this treaty.'],['The War Powers Act is breached by Obama through his actions.'],1,very confident
TV viewing is harmful to children,"['The widespread use of TV viewing is one of the reasons for this phenomenon, as individuals tune in to watch violent events, aggression, crimes, and wars on television and watch dark films that promote psychological tension, pessimism, or negative emotions.']",['The act of violence on TV and in movies can lead to psychological stress.'],1,very confident
Twin Towers reconstruction,['The current status quo of the WTC site is merely a small advertisement for the triumph of terrorism.'],['Litigation for windmill clearance (scenery) can be a costly affair.'],0,very confident
Torture,"['No Western country is using torture on POWs from other sovereign nations. If they are, it is on terrorists or ""enemy combatants"", which will not cause any reaction on their part.']","[""The EU membership impedes Turkey's democratic model in the Middle East.""]",0,very confident
TV viewing is harmful to children,"['The widespread use of TV viewing is one of the reasons for this phenomenon, as individuals tune in to watch violent events, aggression, crimes, and wars on television and watch dark films that promote psychological tension, pessimism, or negative emotions.']",['The popularity of TV is not a good thing for children.'],1,very confident
Using sanctions to end child labor,['Companies will relocate to areas where restrictions are not enforced. Past experience has shown that government intervention in the market is detrimental rather than beneficial.'],['Companies will move to evade restrictions.'],1,very confident
Trying 9/11 terror suspects in NYC courts,"['The U.S. criminal justice system has made an improvement in granting victims access to trial and a chance to be heard, which is not possible for their families in Guantanamo.']",['The Libya issue was deliberated upon by the Obama administration and Congress.'],0,very confident
Turkey EU membership,"[""In certain states, there are significant majority objections, with Austria, France, and Germany having a ratio of 2 to 1. The EU should not force these strongly dissident nations to accept Turkey's membership in the EU.""]","[""The EU nations that are firmly against Turkey's admission should not be compelled to follow their lead.""]",1,very confident
Trying terrorist suspects in civilian courts,"['Our federal courts have engaged in a commendable battle against terrorists, regardless of who calls it. Since 2001, our civilian courts had tried 195 cases of terrorism, as per Justice Department data, and 91% of them resulted in convictions.']",['Terrorists have been prosecuted in civil courts.'],1,very confident
Turkey EU membership,"[""Despite Europe's Christian heritage, no politician with religious tolerance would oppose the membership of a country on the basis of their religious beliefs. This is both harmful and intolerant.""]","[""No present-day politician should object to the EU's inclusion of religious views.""]",1,very confident
US and NATO intervention in Libya,"[""To neglect America's responsibility as a leader and our obligations to our fellow citizens in these circumstances would have been an act of disloyalty. Other nations may be able to overlook atrocities in other countries. The United States is different. As President, I am determined to act decisively.""]",['A US intervention in Libya would be a violation of American values.'],0,very confident
US and NATO intervention in Libya,"['James Joyner maintains that the Libyan war is not being portrayed as illegal under international standards, despite debates surrounding the imperialistic role of the US presidency.']",['The legality of intervention in Libya is evident.'],1,very confident
Turkey EU membership,"[""Turkey's membership in a customs union does not necessitate its accession to the EU, as it already benefits from investment.""]","[""Turkey's investment needs are not dependent on its EU membership.""]",1,very confident
Trying 9/11 terror suspects in NYC courts,"[""The idea of trying the 9/11 defendants before military commissions would be widely criticized, even if it is unfair, as it seeks to guarantee convictions regardless of the evidence presented. However, a decision to keep imprisoning the suspects without retribution, following eight years of presidential promises to hold them on trial, would indicate America's inability to prosecute war criminals effectively.""]",['It would be unjust to bring the 9/11 suspects before military courts.'],1,confident
Unilateral US military strike inside Pakistan,['The leverage of aid can be utilized to promote democracy.'],['We must stand with the people of Pakistan.'],0,very confident
US offshore oil drilling,"[""In July 2008, Sen. Barbara Boxer, D-Calif., chairwoman of the Senate Environment Committee, stated that the president's proposal was not from the U.S. president but from an oil company CEO, and that it was a risk to the coastal economy.""]",['Developing wave power would endanger the energy we possess.'],0,very confident
Trying 9/11 terror suspects in NYC courts,"['There is a small chance that civilian courts could uncover intelligence, but only 8 years of 8-year-old intelligence would be relevant.']",['Terrorists would not be able to obtain much information from criminal courts.'],1,very confident
Torture,"['No Western country is using torture on POWs from other sovereign nations. If they are, it is on terrorists or ""enemy combatants"", which will not cause any reaction on their part.']",['Other countries do not torture imprisoned POWs.'],0,very confident
UN Security Council veto,"['It is necessary to expand the veto to more countries and in a way that mirrors the current geopolitical distribution of power, as opposed to the pre-WWII counterpart.']",['More states should be granted the right to veto.'],1,very confident
US-Indian nuclear deal,"['The United States provided assistance to India in developing nuclear energy through the Atoms for Peace initiative in the 1950s. The US constructed a nuclear reactor for India, provided nuclear fuel for some time, and allowed Indian scientists to study at U.S. nuclear laboratories. This extensive history was interrupted when India tested its first bomb in 1973. Although this caused ties with the US, India made it clear that it was obligated to be dependable.']","[""India's nuclear program has been under the protection of the US for several decades.""]",1,very confident
Trying 9/11 terror suspects in NYC courts,"['Terrorists are a type of villain who seek to cause mass killings among civilian populations in armed conflict, and they should not be treated as criminals with equal rights in civil courts.']",['Famine does not occur globally due to a lack of food.'],0,very confident
U.S. Withdrawal From the United Nations,"[""If the U.S. decides to leave the United Nations, it will adopt a policy of isolationism, leading to heightened trade tensions and reluctance among nations to share resources with 'one country' - which we cannot be present in this situation.""]",['The U.N. withdrawal will intensify isolationism.'],1,very confident
Trying terrorist suspects in civilian courts,"['The Administration is recognizing the existence of alternatives to trials, which are being conducted without trial and through the military commission system. As a result, the trials are only serving as empty symbolism and causing significant harm to those who are at risk.']",['The trials are just symbolic.'],1,very confident
Using sanctions to end child labor,"['The boycotts of a particular producer cause others to act out of fear of negative publicity, leaving the market to handle the issue.']","['The use of market forces to end child labor is unnecessary, as boycotts are not needed.']",0,very confident
US health care reform,"[""Obama's proposal is characterized by inadequate coverage for the uninsured, modest improvements in their health, expensive budgetary expenses, unpredictable changes in insurance markets, and poor spending control. It is an unsatisfactory package that exaggerates benefits and understates costs.""]","[""The US's excessive flexibility leads to budgetary abuse by other nations in the UN:""]",0,very confident
Trying 9/11 terror suspects in NYC courts,"['Terrorists are a type of villain who seek to cause mass killings among civilian populations in armed conflict, and they should not be treated as criminals with equal rights in civil courts.']",['The classification of terrorists as ordinary criminals is not appropriate.'],1,very confident
Trying terrorist suspects in civilian courts,"['The new military rules have not been tested in the real world, so a trial in federal court will be sooner and faster.']",['New Mexico Governor Bill Richardson'],0,very confident
UN Security Council veto,"['The current veto holders are in a privileged position and will not be willing to accept the extension of this privilege to other countries, as it weakens their resolute stance.']",['It is improbable that the current veto holders will increase their authority.'],0,very confident
Torture,"['While some maintain that the ""ticking time-bomb"" is a fabrication that requires perfect information, it need not be founded on this foundation. A leader can legitimately determine that torture is the best course of action based on the existence of reasonable probabilities that \'tick time bombs\' do exist and end up jeopardizing certain lives, and that suspects have access to information that could save those lives and are more likely to be extracted through torture.']",['The idea of a ticking time bomb is false; torture is essential.'],0,confident
Torture,"['Torture will cause temporary discomfort for a terrorist, but the loss of millions of lives could never be fully alleviated if pain is not eliminated. The moral rationale is largely in favor of torture.']",['International law does not prohibit the war in Libya from being waged.'],0,confident
Torture,"['While some maintain that the ""ticking time-bomb"" is a fabrication that requires perfect information, it need not be founded on this foundation. A leader can legitimately determine that torture is the best course of action based on the existence of reasonable probabilities that \'tick time bombs\' do exist and end up jeopardizing certain lives, and that suspects have access to information that could save those lives and are more likely to be extracted through torture.']","['The use of a ""ticking time bomb"" can result in the prevention of death.']",0,very confident
Twin Towers reconstruction,['The current status quo of the WTC site is merely a small advertisement for the triumph of terrorism.'],['The WTC is a propaganda push for terrorism.'],1,very confident
U.S. Withdrawal From the United Nations,"['With the world\'s largest military, and in material terms most powerful, U.S. self-rule is justified -- perhaps because America can exercise its influence outside the super-hiersey of universal subservience imposed by the U.""']",['The same evidence that the NSA program disclosed has been found through other methods:'],0,very confident
US health care reform,"['The President of the United States is in a hurry to pass this bill due to political motives, such as their desire to eliminate it from the agenda and reduce his own numbers.']",['Local suppliers are destroyed and cartels are granted a monopoly through the War on Drugs.'],0,very confident
US and NATO intervention in Libya,"['We have fulfilled the commitments made by me to American people during the beginning of our military operations, which included limiting our role and delegating responsibility to our allies and partners.']",['The intervention in Libya by the US and NATO was a success.'],0,confident
US health care reform,"['The President of the United States is in a hurry to pass this bill due to political motives, such as their desire to eliminate it from the agenda and reduce his own numbers.']",['Local suppliers are destroyed and cartels are granted a monopoly through the War on Drugs.'],0,very confident
Torture,"['Torture will cause temporary discomfort for a terrorist, but the loss of millions of lives could never be fully alleviated if pain is not eliminated. The moral rationale is largely in favor of torture.']",['International law does not prohibit the war in Libya from being waged.'],0,confident
United Nations No Growth Budgets,"['Changes can happen at any time, and the need for peacekeeping may be high in one year or lower in another.']","[""Trade serves as a crucial foundation for developing countries' self-improvement.""]",0,confident
US-Indian nuclear deal,['The agreement could indicate that India can acquire a range of high-tech technologies from the United States that are currently unavailable due to nuclear restrictions.'],"[""The Middle East benefits greatly from Turkey's partnership as an ally.""]",0,very confident
US offshore oil drilling,"['The fundamental problem is that there is only a finite amount of fossil fuel, and the more carbon we burn and find it, the greater the greenhouse effect in the atmosphere. If we want to limit climate change, we must choose to leave fossils in their place rather than seek them out.']",['The addition of offshore drilling results in a significant increase in C02 emissions from the atmosphere.'],1,very confident
US health care reform,"['The implementation of ObamaCare would mandate that Americans obtain government-approved health insurance. It would also prohibit the provision of insurance plans beyond the limited and comparable ones that are permitted by the government. Additionally, it would prohibit offering innovative and new plans. Competition and choice would be greatly diminished. One-size-fits-all regulations would dominate the market.']",['The implementation of ObamaCare would result in the suppression of innovation and choice.'],1,very confident
Twin Towers reconstruction,"[""The Pentagon, once a symbol of peace, has been rebuilt, but the public perception hasn't been positive due to the reconstruction.""]",['Peace is not represented by the twin towers.'],0,very confident
Trying terrorist suspects in civilian courts,"[""Over the past 15 years, federal prosecutors and judges have gained extensive experience safeguarding intelligence sources and methods in terrorist trials, which has limited a defendant's ability to raise non-essential issues and exerted significant control over the courtroom.""]","['Secret courts have been effective in preventing terrorists from carrying out their trials, as evidenced by the success of some cases.']",0,confident
Twin Towers reconstruction,['The current status quo of the WTC site is merely a small advertisement for the triumph of terrorism.'],['The reconstruction of Twin Towers would result in a rise in terrorist threats.'],0,very confident
US health care reform,"['The implementation of ObamaCare would mandate that Americans obtain government-approved health insurance. It would also prohibit the provision of insurance plans beyond the limited and comparable ones that are permitted by the government. Additionally, it would prohibit offering innovative and new plans. Competition and choice would be greatly diminished. One-size-fits-all regulations would dominate the market.']",['The exercise of judicial authority by Presidents is entirely within their jurisdiction.'],0,very confident
US and NATO intervention in Libya,"[""A growing number of global organizations have called for Qadhafi's departure, including the G8 and Contact Group, which includes over 20 countries, Russian President Medvedev, Turkish Prime Minister Erdogan, and several African leaders such as the Presidents of Gabon, Mauritania, Libyan, etc. This newfound consensus suggests that his departure is only a matter of time.""]",['A significant number of global leaders are urging Qadhafi to exit the country.'],1,very confident
TV viewing is harmful to children,"[""Several TV shows designed for children have been proven to teach them basic literacy skills or help them think creatively. These include Sesame Street, Blue's Clues, Reading Rainbow, and others. Additionally, they were also popular among children.""]",['The UN has approved the deployment of coalition forces in Iraq since the invasion.'],0,very confident
Trying terrorist suspects in civilian courts,"['Rudy Giuliani praised the 1993 World Trade Center trial, stating that the law is the most effective weapon against violent individuals.']",['The law is a superior weapon than violence.'],1,very confident
Trying terrorist suspects in civilian courts,"['Besides being a security threat and posing terrorism risks, any such trials would be more dangerous than destroying the courtroom and making KSM vengeful, while also creating new victims in the judges, jury, and spectators.']","['The Pakistani government should allow a unilateral US capture of Bin Laden, provided that intelligence is short-lived.']",0,very confident
UN Security Council veto,"['The military capabilities of each P5 member individually and within specific groups, such as the UK and US axis in NATO, make it essential to maintain international peace by avoiding disagreement. Although the P5, which may occasionally use their veto for selfish purposes, this expense is outweighed by the importance of maintaining unity in a multipolar world after the Cold War.']",['It is within the power of the P5 to argue against the veto.'],0,very confident
US electoral college,"['The lack of a sufficient Electoral College makes it unfeasible to use alternative election methods such as Approval voting, Condorcet voting and Instant Runoff Voting at the Presidential level. This is unfortunate because these methods are clearly superior to what we currently have.']",['The electoral college is a hindrance to election reform.'],1,very confident
US electoral college,"[""The Supreme Court's ruling on the Florida recount case resulted in most Americans being prepared to recognize George Bush as President. His widespread popularity after September 11th indicates that the nation was willing to support him as a genuine commander-in-chief during times of crisis.""]",['The power of the wave inspires ingenuity and innovation.'],0,very confident
